[38057:0x7caf40c000]      673 ms: Incremental Mark-Compact 5.5 (11.6) -> 4.1 (11.6) MB, pooled: 1.5 MB, 0.43 / 0.00 ms (+ 0.1 ms in 12 steps since start of marking, biggest step 0.0 ms, walltime since start of marking 1 ms) (average mu = 0.984, current mu = 0.982) finalize incremental marking via stack guard; GC in old space requested
[38057:0x7caf40c000]      704 ms: Incremental Mark-Compact 5.5 (11.6) -> 4.1 (11.6) MB, pooled: 1.5 MB, 0.43 / 0.00 ms (+ 0.0 ms in 3 steps since start of marking, biggest step 0.0 ms, walltime since start of marking 2 ms) (average mu = 0.985, current mu = 0.985) finalize incremental marking via stack guard; GC in old space requested
[38057:0x7caf40c000]      734 ms: Incremental Mark-Compact 5.5 (11.6) -> 4.1 (11.6) MB, pooled: 1.5 MB, 0.47 / 0.00 ms (+ 0.0 ms in 4 steps since start of marking, biggest step 0.0 ms, walltime since start of marking 1 ms) (average mu = 0.984, current mu = 0.984) finalize incremental marking via stack guard; GC in old space requested
[38057:0x7caf40c000]      765 ms: Incremental Mark-Compact 5.5 (11.6) -> 4.1 (11.6) MB, pooled: 1.5 MB, 0.38 / 0.00 ms (+ 0.0 ms in 3 steps since start of marking, biggest step 0.0 ms, walltime since start of marking 1 ms) (average mu = 0.985, current mu = 0.987) finalize incremental marking via stack guard; GC in old space requested
[38057:0x7caf40c000]      794 ms: Incremental Mark-Compact 5.4 (11.6) -> 4.1 (11.6) MB, pooled: 1.5 MB, 0.41 / 0.00 ms (+ 0.1 ms in 7 steps since start of marking, biggest step 0.0 ms, walltime since start of marking 1 ms) (average mu = 0.984, current mu = 0.983) finalize incremental marking via stack guard; GC in old space requested
[38057:0x7caf40c000]      827 ms: Incremental Mark-Compact 5.4 (11.6) -> 4.1 (11.6) MB, pooled: 1.5 MB, 0.39 / 0.00 ms (+ 0.0 ms in 3 steps since start of marking, biggest step 0.0 ms, walltime since start of marking 1 ms) (average mu = 0.986, current mu = 0.987) finalize incremental marking via stack guard; GC in old space requested
[38057:0x7caf40c000]      855 ms: Incremental Mark-Compact 5.4 (11.6) -> 4.1 (11.6) MB, pooled: 1.5 MB, 0.41 / 0.01 ms (+ 0.0 ms in 3 steps since start of marking, biggest step 0.0 ms, walltime since start of marking 1 ms) (average mu = 0.985, current mu = 0.984) finalize incremental marking via stack guard; GC in old space requested
[38057:0x7caf40c000]      887 ms: Incremental Mark-Compact 5.4 (11.6) -> 4.3 (11.6) MB, pooled: 1.5 MB, 0.47 / 0.00 ms (+ 0.2 ms in 14 steps since start of marking, biggest step 0.1 ms, walltime since start of marking 2 ms) (average mu = 0.981, current mu = 0.978) finalize incremental marking via stack guard; GC in old space requested
{"name":"install-64","mediansMs":[0.6884000000000015,0.5933042000000001],"ratio":0.8618596746077845}
[38057:0x7caf40c000]      927 ms: Incremental Mark-Compact 6.6 (11.6) -> 4.2 (11.6) MB, pooled: 1.5 MB, 0.51 / 0.01 ms (+ 1.3 ms in 37 steps since start of marking, biggest step 0.1 ms, walltime since start of marking 4 ms) (average mu = 0.967, current mu = 0.955) finalize incremental marking via stack guard; GC in old space requested
[38057:0x7caf40c000]      959 ms: Incremental Mark-Compact 5.9 (11.6) -> 4.1 (11.6) MB, pooled: 1.5 MB, 0.53 / 0.02 ms (+ 0.0 ms in 3 steps since start of marking, biggest step 0.0 ms, walltime since start of marking 1 ms) (average mu = 0.974, current mu = 0.982) finalize incremental marking via stack guard; GC in old space requested
[38057:0x7caf40c000]      991 ms: Incremental Mark-Compact 5.8 (11.6) -> 4.1 (11.6) MB, pooled: 1.5 MB, 0.43 / 0.00 ms (+ 0.0 ms in 3 steps since start of marking, biggest step 0.0 ms, walltime since start of marking 1 ms) (average mu = 0.980, current mu = 0.986) finalize incremental marking via stack guard; GC in old space requested
[38057:0x7caf40c000]     1022 ms: Incremental Mark-Compact 5.8 (11.6) -> 4.1 (11.6) MB, pooled: 1.5 MB, 0.45 / 0.01 ms (+ 0.1 ms in 6 steps since start of marking, biggest step 0.1 ms, walltime since start of marking 1 ms) (average mu = 0.981, current mu = 0.983) finalize incremental marking via stack guard; GC in old space requested
[38057:0x7caf40c000]     1052 ms: Incremental Mark-Compact 5.8 (11.6) -> 4.1 (11.6) MB, pooled: 1.5 MB, 0.41 / 0.01 ms (+ 0.1 ms in 5 steps since start of marking, biggest step 0.0 ms, walltime since start of marking 1 ms) (average mu = 0.983, current mu = 0.984) finalize incremental marking via stack guard; GC in old space requested
[38057:0x7caf40c000]     1081 ms: Incremental Mark-Compact 5.8 (11.6) -> 4.1 (11.6) MB, pooled: 1.5 MB, 0.46 / 0.01 ms (+ 0.1 ms in 4 steps since start of marking, biggest step 0.1 ms, walltime since start of marking 1 ms) (average mu = 0.982, current mu = 0.981) finalize incremental marking via stack guard; GC in old space requested
[38057:0x7caf40c000]     1111 ms: Incremental Mark-Compact 5.7 (11.6) -> 4.1 (11.6) MB, pooled: 1.5 MB, 0.43 / 0.00 ms (+ 0.1 ms in 8 steps since start of marking, biggest step 0.1 ms, walltime since start of marking 1 ms) (average mu = 0.982, current mu = 0.981) finalize incremental marking via stack guard; GC in old space requested
[38057:0x7caf40c000]     1140 ms: Incremental Mark-Compact 5.7 (11.6) -> 4.1 (11.6) MB, pooled: 1.5 MB, 0.41 / 0.01 ms (+ 0.1 ms in 10 steps since start of marking, biggest step 0.0 ms, walltime since start of marking 1 ms) (average mu = 0.982, current mu = 0.983) finalize incremental marking via stack guard; GC in old space requested
[38057:0x7caf40c000]     1168 ms: Incremental Mark-Compact 5.7 (11.6) -> 4.1 (11.6) MB, pooled: 1.5 MB, 0.46 / 0.00 ms (+ 0.1 ms in 9 steps since start of marking, biggest step 0.0 ms, walltime since start of marking 1 ms) (average mu = 0.981, current mu = 0.980) finalize incremental marking via stack guard; GC in old space requested
[38057:0x7caf40c000]     1198 ms: Incremental Mark-Compact 5.7 (11.6) -> 4.1 (11.6) MB, pooled: 1.5 MB, 0.48 / 0.01 ms (+ 0.1 ms in 10 steps since start of marking, biggest step 0.0 ms, walltime since start of marking 1 ms) (average mu = 0.980, current mu = 0.979) finalize incremental marking via stack guard; GC in old space requested
[38057:0x7caf40c000]     1226 ms: Incremental Mark-Compact 5.7 (11.6) -> 4.1 (11.6) MB, pooled: 1.5 MB, 0.42 / 0.00 ms (+ 0.0 ms in 4 steps since start of marking, biggest step 0.0 ms, walltime since start of marking 1 ms) (average mu = 0.982, current mu = 0.984) finalize incremental marking via stack guard; GC in old space requested
[38057:0x7caf40c000]     1254 ms: Incremental Mark-Compact 5.7 (11.6) -> 4.1 (11.6) MB, pooled: 1.5 MB, 0.44 / 0.00 ms (+ 0.2 ms in 12 steps since start of marking, biggest step 0.1 ms, walltime since start of marking 1 ms) (average mu = 0.980, current mu = 0.978) finalize incremental marking via stack guard; GC in old space requested
